author,title,year,month,date,time,message_data,message,留言日期,message_day,message_time,message_ip,type,Break_word,POS_tags,Topic,Top_words,Probability
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:32,2022/12/22,這是真的我上次去日本玩隔壁車廂就在拍a片我還被找,2022/ 05 / 05,5月5日,10:32,0,推,"是,真的,上,次,去,日本,玩,隔壁,車廂,就,在,拍,a片,還,被,找","是 SHI,真的 D,上 Nes,次 Nf,去 VCL,日本 Nc,玩 VC,隔壁 Nc,車廂 Na,就 D,在 P,拍 VC,a片 Na,還 D,被 P,找 VC",7,真的 - 可以 - 哈哈 - 厲害 - 聰明 - 不錯 - 這麼 - 恭喜 - 羨慕 - 身家,0.035888747
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:23:11,2022/12/22,去拍打雞肉,2022/ 05 / 05,5月5日,10:23:11,0,推,"去,拍打,雞肉","去 D,拍打 VC,雞肉 Na",-1,自來 - 奇蹟 - 五樓 - 離席 - 墜機 - 蚵仔 - 鴿子 - 高歌 - 萬保衛戰 - 樂透,0.952088774
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:44,2022/12/22,嘻嘻,2022/ 12 / 22,12月22日,10:44,61.216.94.79,推,嘻嘻,嘻嘻 D,0,比特幣 - 歐印 - 現在 - 不是 - 可以 - 美金 - allin - 交易所 - 不會 - 知道,0.099766749
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:23:11,2022/12/22,數位垃圾,2022/ 12 / 22,12月22日,10:23:11,114.137.32.189,推,"數位,垃圾","數位 A,垃圾 Na",4,垃圾 - 浪費 - 電子 - 挖礦 - 數位 - 礦工 - 能源 - 技術 - 網路 - 地球,0.190781549
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,12:10,2022/12/22,接下來就是市場出現海量礦渣卡,2022/ 12 / 22,12月22日,12:10,42.73.183.123,推,"接下來,就,是,市場,出現,海量,礦渣卡","接下來 D,就 D,是 SHI,市場 Nc,出現 VH,海量 Na,礦渣卡 Na",0,比特幣 - 歐印 - 現在 - 不是 - 可以 - 美金 - allin - 交易所 - 不會 - 知道,0.383228826
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:07:00,2022/12/22,不意外,2022/ 12 / 22,12月22日,10:07:00,223.137.8.114,推,"不,意外","不 D,意外 VK",5,顯卡 - 跌到 - 便宜 - 跌破 - 正常 - 繼續 - 價格 - 下去 - 崩潰 - 終於,0.222436597
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,14:32,2022/12/22,居然撐在一萬六這麼久,2022/ 12 / 22,12月22日,14:32,180.217.28.245,推,"居然,撐,在,這麼,久","居然 D,撐 VC,在 P,這麼 Dfa,久 VH",7,真的 - 可以 - 哈哈 - 厲害 - 聰明 - 不錯 - 這麼 - 恭喜 - 羨慕 - 身家,0.131801962
,[新聞] 加密貨幣產業又出事！美最大比特幣挖礦公,2022,12,22,10:07,2022/12/22,拍打雞肉幹嘛,2022/ 12 / 22,12月22日,10:07,49.216.81.235,推,"拍打,雞肉,幹嘛","拍打 VC,雞肉 Na,幹嘛 D",0,比特幣 - 歐印 - 現在 - 不是 - 可以 - 美金 - allin - 交易所 - 不會 - 知道,0.012258345
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:08,2022/12/21,等到幣安破產再叫我,2022/ 12 / 21,12月21日,10:08,223.141.29.43,推,"等到,幣安,破產,再,叫","等到 P,幣安 Na,破產 VH,再 D,叫 VL",0,比特幣 - 歐印 - 現在 - 不是 - 可以 - 美金 - allin - 交易所 - 不會 - 知道,0.046174752
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:07:00,2022/12/21,哈哈哈你看看你,2022/ 12 / 21,12月21日,10:07:00,101.12.25.55,推,"哈哈,哈,看看","哈哈 D,哈 D,看看 VE",0,比特幣 - 歐印 - 現在 - 不是 - 可以 - 美金 - allin - 交易所 - 不會 - 知道,0.11537326
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:08,2022/12/21,都什麼時候了還有人在挖礦,2022/ 12 / 21,12月21日,10:08,27.242.199.182,推,"都,時候,還,有,人,在,挖礦","都 D,時候 Na,還 T,有 D,人 V_2,在 Na,挖礦 D",4,垃圾 - 浪費 - 電子 - 挖礦 - 數位 - 礦工 - 能源 - 技術 - 網路 - 地球,1
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:07:00,2022/12/21,全部人都在等幣安倒,2022/ 12 / 21,12月21日,10:07:00,49.216.176.172,推,"人,都,在,等幣,安倒","人 Na,都 D,在 P,等幣 Na,安倒 VC",0,比特幣 - 歐印 - 現在 - 不是 - 可以 - 美金 - allin - 交易所 - 不會 - 知道,1
t81511270 (肥宅肥宅NO.1),[新聞] 美國最大加密貨幣挖礦公司　聲請破產保護,2022,12,21,10:09,2022/12/21,妖獸喔我朋友投不少錢進去耶,2022/ 12 / 21,12月21日,10:09,223.137.131.19,推,"妖獸,喔,朋友,投,錢,進去","妖獸 Na,喔 T,朋友 Na,投 VC,錢 Na,進去 VA",12,遊戲 - jpg - 投機 - 朋友 - 大概 - 還好 - 超過 - 這樣 - 根本 - 自己,0.306903092
